SMILES,Molecule Name,Molecular Formula,Bond Information,Functional Groups,Atom Information,Symmetry,Planarity,Molecular weight,PiPi Stacking Potential,Energetics,ESP,oxygen_balance,Heat of formation,NO2 Count,NH2 Count,H Count
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,C19H23ClN2,"0-1 (SINGLE), 1-2 (SINGLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (SINGLE), 13-14 (SINGLE), 14-15 (SINGLE), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (AROMATIC), 19-20 (AROMATIC), 18-21 (SINGLE), 16-6 (SINGLE), 12-7 (AROMATIC), 20-15 (AROMATIC)","Alkane, Aromatic","0: C, 1: N, 2: C, 3: C, 4: C, 5: C, 6: N, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: C, 19: C, 20: C, 21: Cl",Non-symmetric,Non-Planar,314.86,944.58,No,-3.46944695195361E-16,-100,944,0,0,0
C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,C27H29NO11,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 5-7 (SINGLE), 7-8 (SINGLE), 8-9 (SINGLE), 9-10 (SINGLE), 10-11 (SINGLE), 11-12 (SINGLE), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (SINGLE), 16-19 (SINGLE), 19-20 (DOUBLE), 19-21 (SINGLE), 21-22 (AROMATIC), 22-23 (SINGLE), 23-24 (DOUBLE), 22-25 (AROMATIC), 25-26 (AROMATIC), 26-27 (AROMATIC), 27-28 (AROMATIC), 25-29 (SINGLE), 29-30 (SINGLE), 14-31 (SINGLE), 10-32 (SINGLE), 32-33 (DOUBLE), 32-34 (SINGLE), 34-35 (SINGLE), 10-36 (SINGLE), 3-37 (SINGLE), 2-38 (SINGLE), 6-1 (SINGLE), 13-8 (SINGLE), 17-12 (AROMATIC), 23-15 (SINGLE), 28-21 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: O, 7: O, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: O, 19: C, 20: O, 21: C, 22: C, 23: C, 24: O, 25: C, 26: C, 27: C, 28: C, 29: O, 30: C, 31: O, 32: C, 33: O, 34: C, 35: O, 36: O, 37: N, 38: O",Non-symmetric,Non-Planar,543.525,2717.625,No,9.99200722162641E-16,-67.6187847845086,472,0,1,0
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,C4H6N4O3S2,"0-1 (SINGLE), 1-2 (DOUBLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (AROMATIC), 7-9 (SINGLE), 9-10 (DOUBLE), 9-11 (DOUBLE), 9-12 (SINGLE), 8-4 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: N, 4: C, 5: N, 6: N, 7: C, 8: S, 9: S, 10: O, 11: O, 12: N",Non-symmetric,Planar,222.251,222.251,No,-2.22044604925031E-16,-78.4027968378095,2438,0,1,0
C1=CC(=CC=C1N)S(=O)(=O)N,Nc1ccc(S(N)(=O)=O)cc1,C6H8N2O2S,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (SINGLE), 2-7 (SINGLE), 7-8 (DOUBLE), 7-9 (DOUBLE), 7-10 (SINGLE), 5-0 (AROMATIC)",Aromatic,"0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: N, 7: S, 8: O, 9: O, 10: N",Non-symmetric,Planar,172.209,172.209,No,0,-81.4179282151339,1219,0,2,0
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,C14H18N4O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (SINGLE), 8-9 (SINGLE), 6-10 (SINGLE), 10-11 (SINGLE), 4-12 (SINGLE), 12-13 (SINGLE), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (SINGLE), 16-20 (SINGLE), 7-2 (AROMATIC), 18-13 (AROMATIC)","Alkane, Aromatic","0: C, 1: O, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: O, 9: C, 10: O, 11: C, 12: C, 13: C, 14: C, 15: N, 16: C, 17: N, 18: C, 19: N, 20: N",Non-symmetric,Planar,290.323,580.646,No,3.33066907387547E-16,-83.4666905481137,1888,0,2,0
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,C18H14N4O5S,"0-1 (AROMATIC), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 4-6 (SINGLE), 6-7 (SINGLE), 7-8 (DOUBLE), 7-9 (DOUBLE), 7-10 (SINGLE), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 13-16 (SINGLE), 16-17 (DOUBLE), 17-18 (SINGLE), 18-19 (AROMATIC), 19-20 (AROMATIC), 20-21 (AROMATIC), 21-22 (AROMATIC), 22-23 (AROMATIC), 21-24 (SINGLE), 20-25 (SINGLE), 25-26 (DOUBLE), 25-27 (SINGLE), 5-0 (AROMATIC), 15-10 (AROMATIC), 23-18 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: C, 6: N, 7: S, 8: O, 9: O, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: N, 17: N, 18: C, 19: C, 20: C, 21: C, 22: C, 23: C, 24: O, 25: C, 26: O, 27: O",Non-symmetric,Planar,398.4,1195.2,No,-5.55111512312578E-17,-79.9196787148594,2163,0,0,0
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,C14H22N2O3,"0-1 (SINGLE), 1-2 (SINGLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 7-8 (SINGLE), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 11-14 (SINGLE), 14-15 (SINGLE), 15-16 (DOUBLE), 15-17 (SINGLE), 5-18 (SINGLE), 13-8 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: C, 6: C, 7: O, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: O, 17: N, 18: O",Non-symmetric,Planar,266.341,266.341,No,3.88578058618805E-16,-81.977990621046,944,0,1,0
CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,C9H8O4,"0-1 (SINGLE), 1-2 (DOUBLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (SINGLE), 10-11 (DOUBLE), 10-12 (SINGLE), 9-4 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: O, 3: O, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: C, 11: O, 12: O",Non-symmetric,Planar,180.159,180.159,No,-2.22044604925031E-16,-64.4758241331269,0,0,0,0
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,C21H24F3N3S,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 4-7 (SINGLE), 7-8 (SINGLE), 8-9 (SINGLE), 9-10 (SINGLE), 10-11 (SINGLE), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (SINGLE), 17-18 (SINGLE), 18-19 (AROMATIC), 19-20 (AROMATIC), 20-21 (AROMATIC), 21-22 (AROMATIC), 22-23 (AROMATIC), 21-24 (SINGLE), 24-25 (SINGLE), 24-26 (SINGLE), 24-27 (SINGLE), 6-1 (SINGLE), 19-10 (SINGLE), 16-11 (AROMATIC), 23-18 (AROMATIC)","Alkane, Aromatic","0: C, 1: N, 2: C, 3: C, 4: N, 5: C, 6: C, 7: C, 8: C, 9: C, 10: N, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: S, 18: C, 19: C, 20: C, 21: C, 22: C, 23: C, 24: C, 25: F, 26: F, 27: F",Non-symmetric,Non-Planar,407.505,1630.02,No,-8.32667268468867E-17,-100,1691,0,0,0
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,CC(C)NCC(O)COc1cccc2ccccc12,C16H21NO2,"0-1 (SINGLE), 1-2 (SINGLE), 1-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 6-7 (SINGLE), 7-8 (SINGLE), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 5-18 (SINGLE), 17-8 (AROMATIC), 17-12 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: C, 6: C, 7: O, 8: C, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: O",Non-symmetric,Planar,259.349,518.698,No,0,-87.6614137706334,472,0,0,0
CC1(CCCCC1)COC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,C18H23NO3S,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 1-7 (SINGLE), 7-8 (SINGLE), 8-9 (SINGLE), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 12-15 (SINGLE), 15-16 (SINGLE), 16-17 (SINGLE), 17-18 (DOUBLE), 17-19 (SINGLE), 19-20 (SINGLE), 20-21 (DOUBLE), 20-22 (SINGLE), 6-1 (SINGLE), 14-9 (AROMATIC), 22-16 (SINGLE)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: O, 9: C, 10: C, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: O, 19: N, 20: C, 21: O, 22: S",Non-symmetric,Non-Planar,333.453,1000.359,No,-1.38777878078145E-16,-85.6051677447796,747,0,0,0
CC1=C(N=CN1)CSCCNC(=NC)NC#N,CN=C(NC#N)NCCSCc1nc[nH]c1C,C10H16N6S,"0-1 (SINGLE), 1-2 (AROMATIC), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 2-6 (SINGLE), 6-7 (SINGLE), 7-8 (SINGLE), 8-9 (SINGLE), 9-10 (SINGLE), 10-11 (SINGLE), 11-12 (DOUBLE), 12-13 (SINGLE), 11-14 (SINGLE), 14-15 (SINGLE), 15-16 (TRIPLE), 5-1 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: N, 6: C, 7: S, 8: C, 9: C, 10: N, 11: C, 12: N, 13: C, 14: N, 15: C, 16: N",Non-symmetric,Planar,252.347,252.347,No,-5.55111512312578E-17,-100,3107,0,0,0
CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C19H22FN3O4,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (SINGLE), 5-6 (SINGLE), 3-7 (SINGLE), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (AROMATIC), 10-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (SINGLE), 13-14 (SINGLE), 11-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 18-19 (DOUBLE), 17-20 (SINGLE), 20-21 (DOUBLE), 20-22 (SINGLE), 15-23 (SINGLE), 23-24 (SINGLE), 24-25 (SINGLE), 8-26 (SINGLE), 6-1 (SINGLE), 12-7 (AROMATIC), 18-10 (AROMATIC), 25-23 (SINGLE)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: N, 4: C, 5: C, 6: N, 7: C, 8: C, 9: C, 10: C, 11: C, 12: C, 13: O, 14: C, 15: N, 16: C, 17: C, 18: C, 19: O, 20: C, 21: O, 22: O, 23: C, 24: C, 25: C, 26: F",Non-symmetric,Non-Planar,375.4,1501.6,No,-2.98372437868011E-16,-82.9515183803943,1416,0,0,0
CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,C19H24N2O3,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (AROMATIC), 8-9 (AROMATIC), 1-10 (SINGLE), 10-11 (SINGLE), 11-12 (SINGLE), 12-13 (SINGLE), 13-14 (AROMATIC), 14-15 (AROMATIC), 15-16 (AROMATIC), 16-17 (AROMATIC), 17-18 (AROMATIC), 16-19 (SINGLE), 15-20 (SINGLE), 20-21 (DOUBLE), 20-22 (SINGLE), 12-23 (SINGLE), 9-4 (AROMATIC), 18-13 (AROMATIC)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: C, 9: C, 10: N, 11: C, 12: C, 13: C, 14: C, 15: C, 16: C, 17: C, 18: C, 19: O, 20: C, 21: O, 22: N, 23: O",Non-symmetric,Planar,328.412,656.824,No,3.33066907387547E-16,-85.3842125135501,944,0,1,0
C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C18H20FN3O4,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (SINGLE), 3-4 (SINGLE), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (AROMATIC), 8-9 (AROMATIC), 9-10 (DOUBLE), 9-11 (AROMATIC), 11-12 (AROMATIC), 12-13 (AROMATIC), 13-14 (AROMATIC), 14-15 (SINGLE), 15-16 (SINGLE), 16-17 (SINGLE), 17-18 (SINGLE), 18-19 (SINGLE), 19-20 (SINGLE), 18-21 (SINGLE), 13-22 (SINGLE), 8-23 (SINGLE), 23-24 (DOUBLE), 23-25 (SINGLE), 6-1 (SINGLE), 14-4 (AROMATIC), 11-5 (AROMATIC), 20-15 (SINGLE)","Alkane, Aromatic","0: C, 1: C, 2: C, 3: O, 4: C, 5: C, 6: N, 7: C, 8: C, 9: C, 10: O, 11: C, 12: C, 13: C, 14: C, 15: N, 16: C, 17: C, 18: N, 19: C, 20: C, 21: C, 22: F, 23: C, 24: O, 25: O",Non-symmetric,Non-Planar,361.373,1445.492,No,-5.55111512312578E-17,-82.2897670827649,1416,0,0,0
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,C7H8ClN3O4S2,"0-1 (SINGLE), 1-2 (SINGLE), 2-3 (AROMATIC), 3-4 (AROMATIC), 4-5 (AROMATIC), 5-6 (AROMATIC), 6-7 (AROMATIC), 7-8 (SINGLE), 8-9 (DOUBLE), 8-10 (DOUBLE), 8-11 (SINGLE), 5-12 (SINGLE), 12-13 (DOUBLE), 12-14 (DOUBLE), 12-15 (SINGLE), 4-16 (SINGLE), 11-0 (SINGLE), 7-2 (AROMATIC)",Aromatic,"0: C, 1: N, 2: C, 3: C, 4: C, 5: C, 6: C, 7: C, 8: S, 9: O, 10: O, 11: N, 12: S, 13: O, 14: O, 15: N, 16: Cl",Non-symmetric,Non-Planar,297.745,595.49,No,-5.55111512312578E-17,-78.5050966431006,1966,0,1,0
